0.436,0.161,-19.846,0.0504,0.977,0.786,0.596,173.603,0
0.767,0.934,-3.057,0.195,0.104,0,0.895,121.069,0
0.749,0.475,-13.875,0.0737,0.147,0,0.866,98.53,0
0.486,0.153,-21.492,0.0377,0.872,0.0745,0.501,114.879,0
0.726,0.869,-3.978,0.0638,0.0181,0.00022,0.529,112.966,0
0.768,0.864,-6.145,0.0324,0.101,0,0.891,110.008,0
0.592,0.873,-5.65,0.0275,0.0715,0.00982,0.516,122.011,0
0.539,0.591,-8.177,0.0305,0.109,0,0.366,95.468,0
0.511,0.813,-6.78,0.0357,0.00549,0.00207,0.826,121.801,0
0.635,0.672,-6.788,0.0637,0.314,5.03e-06,0.895,166.903,0
0.315,0.755,-3.594,0.0498,0.0485,0,0.208,149.794,0
0.682,0.724,-5.055,0.0306,0.164,0,0.491,132.042,0
0.585,0.542,-9.113,0.102,0.12,0,0.584,167.825,0
0.391,0.993,-4.198,0.104,0.00013,0.175,0.193,180.019,0
0.476,0.698,-6.488,0.0301,0.000878,0,0.208,130.047,0
0.687,0.702,-11.046,0.0416,0.435,0.909,0.382,125.986,0
0.36,0.533,-4.394,0.0302,0.375,0,0.421,92.854,0
0.697,0.506,-4.863,0.0325,0.0792,0,0.516,100.002,0
0.775,0.613,-4.586,0.0542,0.109,2.33e-05,0.797,100.066,0
0.741,0.714,-4.3,0.0753,0.146,0,0.755,95.081,0
0.609,0.526,-13.106,0.43,0.139,0,0.93,173.179,0
0.638,0.719,-4.44,0.131,0.0218,4.74e-06,0.44,100.056,0
0.635,0.786,-6.46,0.0377,0.0349,0.00767,0.305,97.54,0
0.692,0.724,-6.669,0.0294,0.0277,0.000861,0.534,125.974,0
0.495,0.875,-7.229,0.0432,0.00281,6.17e-05,0.671,165.975,0
0.777,0.891,-2.4,0.0717,0.171,0.00635,0.317,128.029,0
0.249,0.302,-14.062,0.034,0.938,0.839,0.262,147.882,0
0.84,0.695,-6.59,0.0436,0.000203,0.806,0.365,124.993,0
0.321,0.259,-13.09,0.0298,0.888,0.000816,0.0503,104.582,0
